"pacto";"comuna";"votacion";"n_candidatos";"p_votacion";"voto_w";"p_candidatos";"voto_w2";"no_pobres";"pobres";"p_pobreza"
"Apruebo Dignidad";"MONTE PATRIA";1209;6;0,00342379295446675;4,1393656819503;0,0028328611898017;0,0117262483907941;22569;5611;0,199112845990064
"Apruebo Dignidad";"MOSTAZAL";1209;6;0,00342379295446675;4,1393656819503;0,0028328611898017;0,0117262483907941;20871;6142;0,227372006071151
"Apruebo Dignidad";"MULCHEN";936;5;0,00265067841636136;2,48103499771423;0,00236071765816808;0,00585702312963699;19881;6009;0,232097334878331
"Apruebo Dignidad";"NACIMIENTO";831;5;0,0023533266709362;1,95561446354799;0,00236071765816808;0,00461665359666663;18327;4826;0,208439511078478
"Apruebo Dignidad";"NANCAGUA";1196;6;0,00338697797646173;4,05082565984823;0,0028328611898017;0,0114754267984369;15762;1632;0,0938254570541566
"Apruebo Dignidad";"NATALES";1196;6;0,00338697797646173;4,05082565984823;0,0028328611898017;0,0114754267984369;15986;2687;0,143897606169335
"Apruebo Dignidad";"NAVIDAD";1026;6;0,00290555134101149;2,98109567587778;0,0028328611898017;0,00844503024327984;3139;2149;0,406391830559758
"Apruebo Dignidad";"NEGRETE";337;5;0,000954357506745488;0,321618479773229;0,00236071765816808;0,000759250424393837;7074;1455;0,170594442490327
"Apruebo Dignidad";"NINHUE";153,29;6;0,000434105229106872;0,0665439905697924;0,0028328611898017;0,000188509888299695;3056;1314;0,300686498855835
"Apruebo Dignidad";"NIQUEN";372;6;0,00105347475522054;0,39189260894204;0,0028328611898017;0,00111017736244204;6808;1566;0,187007403869119
"Apruebo Dignidad";"NOGALES";1579;9;0,00447160386691729;7,0606625058624;0,00424929178470255;0,0300028151807184;14938;11868;0,442736700738641
"Apruebo Dignidad";"NUEVA IMPERIAL";963;5;0,00272714029375639;2,62623610288741;0,00236071765816808;0,00619980194260483;17615;12918;0,423083221432548
"Apruebo Dignidad";"NUNOA";2184,399;8;0,00618604624147578;13,5127932238334;0,00377714825306893;0,0510398233194842;119647;6288;0,0499305197125501
"Apruebo Dignidad";"OLIVAR";499;6;0,00141312877111572;0,705151256786746;0,0028328611898017;0,00199759562829106;10182;3971;0,280576556207165
"Apruebo Dignidad";"OLMUE";22;6;6,23022704700319e-05;0,0013706499503407;0,0028328611898017;3,8828610491238e-06;12123;4008;0,248465687186163
"Apruebo Dignidad";"OSORNO";1644,346;6;0,00465665860174159;7,65715794513938;0,0028328611898017;0,0216916655669671;128174;32946;0,204481132075472
"Apruebo Dignidad";"OVALLE";894,081;6;0,00253196710382348;2,2637836801536;0,0028328611898017;0,0064129849296136;86140;24041;0,218195514653162
"Apruebo Dignidad";"PADRE HURTADO";1489,893;6;0,00421925984806396;6,28624571281156;0,0028328611898017;0,0178080615093812;43357;10247;0,191161107380046
"Apruebo Dignidad";"PADRE LAS CASAS";2071;5;0,005864909188338;12,146226929048;0,00236071765816808;0,0286738123915203;55108;22468;0,289625657419821
"Apruebo Dignidad";"PAILLACO";936;6;0,00265067841636136;2,48103499771423;0,0028328611898017;0,00702842775556439;13866;4253;0,234725978254871
"Apruebo Dignidad";"PAINE";2074,987;6;0,0058762000589;12,1930387316167;0,0028328611898017;0,034541186208546;56252;13932;0,198506782172575
"Apruebo Dignidad";"PALMILLA";733;6;0,00207579837520606;1,52156020902604;0,0028328611898017;0,00431036886409644;8462;3063;0,265770065075922
